Title,Description,Tips
"Bitter Melon Seeds Long White Reishi","A true edible ornamental! The 16-inch-long white fruit has a subtle minty green undertone, giving the long vines a bejeweled look. The bitter melon is a pungent and intensely flavored superfood. We love this variety for stir fry, soups, and juices. The vines look fantastic climbing an arbor or trellis, as the fruit will hang like glistening stalactites.Sun: 8-12 hrsSprouts in 7-21 daysSeed Depth: 1 inchIdeal Temperature: 75-90 FPlant Spacing: 24” apartFrost Hardy: NOMomordica charantia"," Revels in heat and humidity. Grow up a trellis or fence. Soaking seeds overnight and nicking or splitting the tough outer seed coat may improve germination."
"Bitter Melon Seeds Pearl Goya","These glistening, snow-white globes are a rare delicacy, even in their native region on the island of Okinawa, Japan. This dazzling edible ornamental variety produces loads of pearlescent round fruit, making a stunning backdrop for your garden design. The flavor is more mild than green bitter melon and even boasts umami flavor notes, making it a top choice for soups and a number of other simple yet delicious preparations. Vine SupportFull SunSprouts in 7-21 DaysIdeal Temperature: 75-90 Degrees FSeed Depth: 1\"Plant Spacing: 24\"Frost Hardy: NoMomordica charantia"," Revels in heat and humidity. Grow up a trellis or fence. Soaking seeds overnight and nicking or splitting the tough outer seed coat may improve germination."
"Bitter Melon Seeds Satsuma Onaga","Hailing from the scenic bay area of the southwestern tip of Kyushu Island, Japan, which is known for producing some of the finest bitter melons. This is an ideal bitter melon for making into tea or for cooking. Exceptionally long and slender fruit is delicious sliced and stir fried; the bitter melon’s potent superfood powers are most appreciated when paired with mellow flavors like cooked garlic and beans. This bitter melon will produce tons of snake-like fruit on long vines and is a prolific and healthful addition to the kitchen garden. 16-18 inches long and matures 60-70 days from sowing. The color is light green, tending to lighten to a white-green at the tip, and the teardrop bumps and ridges sometimes spiral around the long fruit. Nutritious fruit contains almost as much vitamin C as citrus!   60-70 DaysFull Sun Sprouts in 7-21 Days Seed Depth: 1\" Ideal Temperature: 75-90 Degrees F Plant Spacing: 24\" Frost Hardy: No Momordica charantia","Revels in heat and humidity. Grow up a trellis or fence. Soaking seeds overnight and nicking or splitting the tough outer seed coat may improve germination."
"Bitter Melon Seeds Siamese","This tiny variety from Thailand (formerly Siam) has a potent bitter flavor and is an excellent choice for those seeking the medicinal benefits of this unique superfruit. Bitter melon has been revered in Eastern traditional medicine as a panacea for digestion and blood sugar issues for centuries. Considered a cooling food in Eastern medicine, bitter melon is consumed in the hot weather to offset external temperature extremes. This semi-wild variety from Thailand is quite ornamental. Full SunSprouts in 7-21 DaysSeed Depth: 1\"Ideal Temperature: 75-90 Degrees FPlant Spacing: 24\"Frost Hardy: NoMomordica charantia","Revels in heat and humidity. Grow up a trellis or fence. Soaking seeds overnight and nicking or splitting the tough outer seed coat may improve germination."
"Blackberry Plants Sweetie Pie (3 plants) Ships prompt","\"Sweetie Pie” is sweeter than any other thorn-less blackberry – 10-12% sugar! Excellent to outstanding flavor in a juicy, glossy black, medium-sized berry makes Sweetie Pie a winner for home gardens and U-Picks. Tested since 1996 in Arkansas, Mississippi, and Louisiana, Sweetie Pie has shown to be resistant to Rosette (Double Blossom) fungal disease. Vigorous grower of many floricanes with a trailing growth habit. Ripens in mid-June to late July. Please consider these terms before ordering live plants: Please make sure you are ready for your order in your zone, as these young, tender plants generally have no resistance to cold. Plant Care Instructions:Thrives from zones 5-9. They should be planted in full sunlight, receiving at least 6-8 hours per day. Soil should be a pH of 5.5 to 6.5 and well drained. Prior to planting, amend the planting site with 3-6 inches of finished compost, spading into the soil to one foot deep. Make mounds or raised beds and build a trellis or fence to support vines. Water 1-2 inches per week from midsummer into autumn. WARNING: PLANTS ARE VERY YOUNG AND TENDER. DO NOT PUT THEM OUTSIDE UNTIL ALL DANGER OF FROST HAS PASSED.",""
"Blueberry Plants Chandler (2 plants) ships prompt","The big berries will blow you away with their size and flavor! Chandler is a highbush blueberry that produces prodigiously over a long season, bearing fruit the size of cherries – the largest berry of any variety available today. Hardy in USDA zones 4 to 7, this mid-late season plant will produce fruit over a 4- to 6- week period. Chandler blueberry bushes need plenty of room, as they will spread 5 to 6 feet.Plant Care Instructions: Hardy from zones 4-7. Requires, well drained, high organic matter, moist, acidic (pH 4-5) soil. Test soil, add sulfur to lower pH if needed. Add manure/compost to increase organic matter and improve drainage. Plant in full sun, mulch with sawdust or wood chips, keep well watered (1-2 inches /week) consider irrigating with soaker hose. Cover with netting to protect berries from birds. WARNING: PLANTS ARE VERY YOUNG AND TENDER. DO NOT PUT THEM OUTSIDE UNTIL ALL DANGER OF FROST HAS PASSED.",""
"Blueberry Plants Pink Lemonade (2 plants) Ships prompt","We love this blueberry for its beautiful, bright pink berries and flowers! Don't let the good looks fool you; these berries have an excellent flavor, as well. The magenta color makes a splash in the garden. Hardy from zones 5-9, this is a rabbit-eye variety, which explains the bushy, compact growth habit and ability to thrive in warmer climates with few cold winter days. Please consider these terms before ordering live plants: Most plants will be 3”-7” in height. Please make sure you are ready for your order in your zone as these young, tender plants generally have no resistance to cold.Plant Care Instructions: Hardy from zones 5-9.Requires, well drained, high organic matter, moist,acidic (pH 4-5) soil. Test soil, add sulfur to lower pH if needed. Add manure/compost to increase organic matter and improve drainage. Plant in full sun, mulch with sawdust or wood chips, keep well watered (1-2 inches /week) consider irrigating with soaker hose. Cover with netting to protect berries from birds. WARNING: PLANTS ARE VERY YOUNG AND TENDER. DO NOT PUT THEM OUTSIDE UNTIL ALL DANGER OF FROST HAS PASSED.",""
"Blueberry Plants Top Hat (2 plants) Ships prompt","Productive and delicious blueberry for the northern gardener. Cold hardy variety perfect for zones 3-8. A great selection for container or in ground growing. Blueberries absolutely require acidic soil, so be sure to pH test the soil at your planting site before your plants arrive. You will need to amend with sulfur if the pH is too high, but this is easily done. Please consider these terms before ordering live plants: Most plants will be 3”-7” in height. Please make sure you are ready for your order in your zone as these young, tender plants generally have no resistance to cold. Plant Care Instructions: Hardy from zones 3-8. Requires, well drained, high organic matter, moist, acidic (pH 4-5) soil. Test soil add sulfur to lower pH if needed. Add manure/compost to increase organic matter and improve drainage. Plant in full sun, mulch with sawdust or wood chips, keep well watered (1-2 inches /week) consider irrigating with soaker hose. Cover with netting to protect berries from birds. WARNING: PLANTS ARE VERY YOUNG AND TENDER. DO NOT PUT THEM OUTSIDE UNTIL ALL DANGER OF FROST HAS PASSED.",""
"Bok Choy Seeds Baby Milk","Ivory-white, sweet-flavored stems against forest green foliage make for a stunning contrast of colors, but it’s the flavor and juicy texture that really make this baby, Milk Bok Choy a show stopper! The perfect single serving sized plant, a head can fit neatly in your palm. In China bok choy is celebrated as a nutrient-dense superfood; indeed bok choy is a rich source of vitamin A, C, and K, as well as smaller amounts of a wide range of important nutrients. Bok Choy also ranks at the top of ranked lists of nutrient density, rated healthier even than spinach and broccoli. 4-6 hours of SunSprouts in 10-14 DaysIdeal Temperature: 60-80 Degrees FSeed Depth: 1/4\"Plant Spacing: 12\"Frost Hardy: NoBrassica rapa","Best planted in cool spring or fall conditions. Sow in place."
"Bok Choy Seeds Hedou Tiny","A perfectly miniature bok choy! Stuff several in the steamer basket or pop one into your mouth for a nutritious snack! The extra-dwarf heads are famous across China and even long popular in U.S. markets and restaurants. Said to have first been grown in a small village called Hak Tau on Hong Kong, a local legend holds that an old man first began cultivating this variety and spreading seeds to fellow villagers. He asked only that the variety remain in the village. But after outsiders came in the night to steal seeds, Hedou baby bok choy became famous across Hong Kong and eventually the globe. The delicious micro choy is a staple in many dishes and a perfect bite-sized veggie! 4-6 hours of SunSprouts in 10-14 DaysIdeal Temperature: 60-80 Degrees FSeed Depth: 1/4\"Plant Spacing: 3\"Frost Hardy: NoBrassica rapa","Best planted in cool spring or fall conditions. Sow in place."
"Bok Choy Seeds Purple Lady","An Incredible Variety From China!  We love this eye-catching purple baby bok choy, and we believe this is one of the best strains available. Its sweet, rich flavor is perfect for the wok, grill or in salads. We love the highly refined, uniform heads, averaging 6-7 inches tall. The neat little plants make a perfect presentation tucked into the tidy kitchen garden or displayed at the farmers market stand. A beautiful variety, the antioxidant-rich plum-colored leaves really pop against the lime green stems. Crunchy, juicy and flavorful, this is an excellent culinary variety. Much work has been put into selecting for consistently attractive, delicious heads. A must-have for market and home use. 4-6 hours of SunSprouts in 10-14 DaysIdeal Temperature: 60-80 Degrees FSeed Depth: 1/4\"Plant Spacing: 12\"Frost Hardy: NoBrassica rapa sub chinensis","Best planted in cool spring or fall conditions. Sow in place."
"Bok Choy Seeds Shanghai Green"," 35-55 days. A delicious jade green baby type that is in high demand with top chefs. The small plants are upright and have light green stems. Equally suited for home gardens and farming, the plants’ unique curvature and chartreuse petioles make this a stand out at market. They are extra tender and finely flavored, making them a coveted variety among culinarians in the know.4-6 hours of SunSprouts in 10-14 DaysIdeal Temperature: 60-80 Degrees FSeed Depth: 1/4\"Plant Spacing: 12\"Frost Hardy: NoBrassica rapa","Best planted in cool spring or fall conditions. Sow in place."
"Bok Choy Seeds Snow White","This giant choy is celebrated for its snowy white and supremely succulent stems. Plants stand over 16 inches tall, and the thick stems are extremely juicy, with a perfect crispy texture. Enjoy raw as a refreshing snack (far superior to celery sticks) or in salads. Stunning when stir fried, steamed, or swirled into soups! Jere Gettle encountered this gourmet variety while visiting the city of Nanjing, China. There you can still find this traditional cabbage along sidewalks, drying for wintertime use. 55 daysSprouts: 10 - 14 daysIdeal Temp: 60 - 80Seed Depth: 1/4 inchPlant Spacing: 4 - 6\"Frost Hardy: YesPartial SunBrassica rapa var. chinensis","Prefers full sun to part shade. Average moisture needs. Soil should be well drained and ideally amended with well- rotted compost. Plant spacing will depend on the variety; large varieties can be spaced or thinned to 12 inches apart, while the small-headed varieties can be spaced 6 inches apart and micro varieties will only need about 2-4 inches. Rows should be 18-32 inches apart. Bok choy is fairly heat tolerant, but it should be noted that frost or sustained nightime temperatures under 50 F may cause the young plants to bolt, so resist the temptation to plant them out too early. Cold temperatures typically will not cause mature plants to bolt. Sow again in late summer for fall harvest. When sowing in fall, be sure to mulch plants and provide consistent moisture. "
"Bok Choy Seeds Suzhou Baby","A perfected medium-sized bok choy that is popular with market gardeners in China for its fabulous flavor and high-quality heads.  A superior variety in every way, the crisp and tender heads are tightly packed and remain scrumptious even as the leaves get large. Impressive and adaptable variety boasting bolt resistance, as well as heat and cold tolerance! Bok choy is high in several vitamins, especially C.4-6 hours of SunSprouts in 10-14 DaysIdeal Temperature: 60-80 Degrees FSeed Depth: 1/4\"Plant Spacing: 12\"Frost Hardy: YesBrassica rapa","Best planted in cool spring or fall conditions. Sow in place."
"Chijimisai Seeds Chijimisai","A runaway winner of the Baker Creek tasting and growing trials, this stunning new superfood contains a high amount of vitamin A! It is also a great source of minerals and protein. A cross between two of the most delicious and hardy greens -- tatsoi and komatsuna -- the lightly savoyed leaves of Chijimisai have a velvety texture and lightly umami flavor that make it a remarkable spinach substitute. This innovative “new” heirloom Asian green is both heat and cold tolerant, making it suitable to grow year round in most growing zones, save for the extreme seasons of some climates. This quick and easy-to-grow green is phenomenally tasty and more versatile than other greens. It is equally happy in stir fries and soups as it is in salads, lasagna or atop pizzas. Sure to be the next culinary craze and must-have market gardeners’ green, no patch of greens should be without Chijimisai!   Average 55 days4-6 hours of SunSprouts in 10-14 DaysIdeal Temperature: 60-80 Degrees FSeed Depth: 1/4\"Plant Spacing: 12\"Frost Hardy: NoBrassica rapa","Best planted in cool spring or fall conditions. Sow in place."
"Choy Seeds Yellow Heart Winter","This beautiful variety from China is of the best-tasting and cold-hardiest greens. It’s also called “Golden Flower in the Snow,” which is a nod to the incredible cold tolerance of this variety.  Cool weather triggers leaves to turn a brilliant yellow color, making the central rosette of leaves look like a massive gilded flower. It is grown year round in China but especially in the cool months as a nutritious staple. These low-growing plants are so winter rugged, in fact, that they survived single digit temperatures at the Baker Creek farm. Plants are just 5-8 inches tall. The plants are super cold loving, great for extra-late season planting and ornamental design. Extra tender leaves are delicious cooked or in salad. A taste test winner! 4-6 hrs of SunSprouts in 10-14 DaysIdeal Temperature: 55-80 FSeed Depth: 1/4\"Plant Spacing: 6-8\"Frost Hardy: YesBrassica rapa","Best planted in late summer/fall for fall/winter harvest, will also tolerate early spring sowing. "
"Choy Sum Seeds 50-Day","A delectable Chinese vegetable  that is known for its tender and delicious edible stalks and flowers. This green can be planted in both spring and late summer for fall harvest. The greens are nutritious and very flavorful, but most growers in the know savor the flowers and stalks, as they are a gourmet delicacy! 4-6 hours of SunSprouts in 10-14 DaysIdeal Temperature: 60-80 Degrees FSeed Depth: 1/4\"Plant Spacing: 4-6\"Frost Hardy: YesBrassica chinensis","Best planted in cool spring or fall conditions. Sow in place."
"Choy Sum Seeds Purple or Chinese Flowering Cabbage","Wildly gourmet flavor and vivid magenta stems make this Chinese green, also known as hon tsai tai, a favorite. The slim and crunchy stems are refreshing and especially well suited to fresh snacking as well as cooking. The contrast between crispy stems, soft and tender leaves and spicy yellow blooms makes for a phenomenal culinary experience. A particularly cold-tolerant leafy green that is so well suited to fall and winter harvests. Plants reach 12-36 inches in height and can be harvested multiple times as a cut-and-come-again green.      50 days4-6 Hours SunSprouts in 10-14 DaysIdeal Temperature: 60-80 Degrees FSeed Depth: 1/4\"Plant Spacing: 12\"Frost Hardy: NoBrassica rapa"," Best planted in cool spring or fall conditions. Sow in place."
"Komatsuna Seeds Spinach Mustard \"Old Tokyo\"","We are excited to offer this old, traditional komatsuna strain from Tokyo, Japan. Since it makes such a perfect spinach substitute, it’s hard to believe that komatsuna is actually a mustard! The leaves combine the best qualities of spinach and mustard, with a mild and sweet flavor reminiscent of spinach but with the powerful nutrition of a mustard! Frequently referred to as one of the “most underrated” leafy greens, komatsuna is simply mouth watering. This leafy green is incredibly delicious, mild, and tender. It holds superfood status in its native Japan. The leaves are very high in vitamins A and C, and it is a good source of vitamin K, folate, and minerals such as calcium and iron. Komatsuna has been revered in Japanese, Taiwanese and Korean cuisine as a mouth-watering veggie for many years, and in America chefs and nutritionally minded foodies have identified it as a delicious, juicy, and health-promoting green. Let the culinary experimentation begin! 6-12 hours of SunSprouts in 5-8 DaysIdeal Temperature: 55-70 Degrees FSeed Depth: 1/4\"Plant Spacing: 12\"Frost Hardy: YesBrassica rapa var perviridis","Tolerant of heat and frost but best planted in cool spring or fall conditions. Sow in place. Prefers rich soil; harvest individual leaves or cut entire plant."
"Tatsoi Seeds Green","Tatsoi is nicknamed Vitamin Green, and rightfully so. This gourmet green is known as one of the richest sources of vitamin C and it is replete with other incredible vitamins, minerals, and health-promoting compounds! Tatsoi also boasts glucosinolates (which have been extensively studied for their potential in lowering the risk of some cancers) and carotenoids, which promote eye health. You won’t have to bargain with your kids to get them to eat this veggie. It’s super sweet and easy to love, with a mild and refreshing flavor. The low-growing rosettes are comprised of tiny, glossy spoon-shaped leaves that boast crisp and juicy mouthfeel.50 - 55 daysFull SunSprouts in 10-14 DaysIdeal Temperature: 60-80 Degrees FSeed Depth: 1/4\"Plant Spacing: 12\"Frost Hardy: NoBrassica rapa","Best planted in cool spring or fall conditions. Sow in place."
"Borage Seeds Blue","This culinary and medicinal herb produces a galaxy of sparkling star-shaped blooms that glitter in the most brilliant shade of azure. A dazzling edible flower, each little flower contains a drop of nectar that is sweet with the essence of honey and cucumber. Pollinators, especially honeybees, adore borage blooms, and you will never find the plants without the company of beneficial insects. Add the refreshing blooms to salads, use as garnish, or make a cooling tea. The leaves, which also taste like cucumber, are cooked or made into cooling drinks and teas. Borage is believed to be native to the Mediterranean and has been used medicinally for many centuries. In the first century, Dioscorides said borage could “comfort the heart and purge melancholy.” Indeed, this beautiful, care-free herb brightens our hearts, and much research has been done on the anti-depressant and anti-anxiety qualities of borage seed oil. Warning: This plant is toxic to dogs, cats, and horses. 50 - 60 days6-12 hours of SunSprouts in 7-14 DaysIdeal Temperature: 60-80 Degrees FSeed Depth: 1/4-1/2\"Plant Spacing: 12\"Frost Hardy: NoBorago officinallis","Direct sow as soon as soil can be worked. Succession plant for longer blooming season. Frequently reseeds itself year after year. "
"Borage Seeds White","Meet blue borage’s rare white-flowered sister! The edible alabaster blooms of white borage impart a subtly sweet cucumber flavor and are irresistible to pollinators! This annual herb can be grown in USDA zones 3-9 and reach 2 to 3 feet tall. The young leaves and blooms are edible; leaves are perfect cooked like spinach, and the blossoms make an incredible edible flower for garnish and in beverages like cold tea! Interplant throughout your garden to encourage beneficial insects and entice pollinators to work your other blooms! Warning: This plant is toxic to dogs, cats, and horses.Annual50 - 60 days6-12 hours of SunSprouts in 7-14 DaysIdeal Temperature: 60-80 Degrees FSeed Depth: 1/4-1/2\"Plant Spacing: 12\"Frost Hardy: NoBorago officinalis bianca","Direct sow as soon as soil can be worked. Succession plant for longer blooming season. Frequently reseeds itself year after year. "
"Boysenberry Plants Thornless (2 plants) ships prompt","These big, sweet berries are ideal for eating straight from the plants and make fantastic jam, pies, and cobblers. Boysenberry is a fabulous potpourri of America’s favorite berries, created from a cross of the European raspberry (Rubus idaeus) the European blackberry (Rubus fruticosus), American dewberry (Rubus aboriginum), and loganberry (Rubus × loganobaccus). As the story goes, in the 1930s the Knott family (of Knott’s Berry Farm fame) rescued this unique berry from near extinction on a farm owned by Rudolph Boysen. Boysenberry was immensely popular until the 1960s, when it fell out of favor because of its fragile fruit, ill-suited for shipping, and its finicky growing habit.Fortunately for us, continuous improvements have resulted in much hardier and disease-resistant plants, as well as this thornless type! Breeding hasn’tsacrificed flavor, though; the fruit is still as delicious and delicate as the original.",""
"Broccoli Rabe Seeds Natalina Di Fasano Cima Grande","A nutritious, richly flavored and high-yielding broccoli rabe from Puglia region, Italy. This variety made more and bigger heads than others in our trials. We were astounded by the abundant yields of the delicious heads. Plants average 2-3 feet tall. This gourmet brassica is a delicacy in Puglia, where it is used in a range of dishes, often sauteed with garlic and drizzled with a bit of olive oil as a side dish or atop good quality bread. A famous Puglia dish is broccoli rabe with orecchiette pasta, simply sublime!90 DaysFull SunSprouts in 7-10 DaysSeed Depth: 1/4\" - 1/2\"Ideal Temperature: 60-80 FPlant Spacing: 12\" Frost Hardy: YesBrassica rapa","Sow very early indoors, or direct seed outdoors 2-4 weeks ahead of last-frost date and again in midsummer for fall harvest. Best in cool weather."
"Broccoli Seeds Calabrese Green Sprouting","This delicious Italian-American heirloom produces 5- to 8-inch blue-green heads and many tender, succulent side shoots. Cooked, it has a buttery, soft texture and sweet, nutty flavor. It is a supreme choice for market gardening and home gardening alike. Hailing originally from Calabria, Italy, it was brought to America in the 1800s.60-85 DaysFull SunSprouts in 7-10 DaysSeed Depth: 1/4\" to 1/2\"Ideal Temperature: 60-80 Degrees FPlant Spacing: 12\"Frost Hardy: YesBrassica oleracea","Sow very early indoors, or direct seed outdoors 2-4 weeks ahead of last-frost date and again in midsummer for fall harvest. Best in cool weather."
"Broccoli Seeds Early Purple Sprouting","A sublime wintertime treat, this buttery soft, nutty-flavored broccoli from the U.K. can grow unprotected in zones 7b and warmer. Gardeners in cooler climates can grow this over winter in hoop houses or greenhouses. It is ideal for mild coastal or protected climates and produces lots of purple broccoli sprouts in the spring. Listed in John Mason’s seed catalog in 1793. 60 DaysFull SunSprouts in 7-10 DaysSeed Depth: 1/4\" to 1/2\"Ideal Temperature: 60-80 FPlant Spacing: 12\"Frost Hardy: YesBrassica oleracea","Needs overwintering to produce florets. Direct sow in midsummer for florets the following spring in full sun or light summer shade. Hardy to about 18 F."
"Broccoli Seeds Rapini","An Italian non-heading broccoli grown for flavorful, asparagus-like spring shoots and leaves, it is great for cooking or in salads. High in vitamin A and so delicious!45-60 DaysFull SunSprouts in 7-10 DaysSeed Depth: 1/4\" to 1/2\"Ideal Temperature: 60-80 FPlant Spacing: 12\" Frost Hardy: YesBrassica rapa","Sow very early indoors, or direct seed outdoors 2-4 weeks ahead of last-frost date and again in midsummer for fall harvest. Best in cool weather."
"Broccoli Seeds Waltham 29","Standard type, produces 4-8 inch green heads that are nicely flavored. Compact plants also produce some side shoots. Introduced in 1954. A favorite here at the farm. 75 DaysFull SunSprouts in 7-10 DaysSeed Depth: 1/4\" to 1/2\"Ideal Temperature: 60-80 FPlant Spacing: 12\" Frost Hardy: YesBrassica oleracea","Sow very early indoors, or direct seed outdoors 2-4 weeks ahead of last-frost date and again in midsummer for fall harvest. Best in cool weather."
"Chinese Broccoli Seeds Yod Fah","55 days to maturity. The delectable, tender stalks taste like a cross between asparagus and broccoli, only sweeter. Our favorite spring vegetable, this is a very easy-to-grow broccoli-like plant from China. We can’t get enough of the crisp stems and shoots, which are about as thick as a large asparagus shoot, with a perfect snap and crunch. Nothing goes to waste with this crop; all parts of the plant are delicious. The tender blue-green, glossy leaves are similar to kale but better, and the broccoli-like inflorescences are buttery soft and nutty in flavor. A must-have for those who long for broccoli  but struggle to grow it, excellent for market gardeners as well. Yod Fah is a selection from Thailand that boasts good heat resistance.  Not only is this vegetable a taste test winner, but also a nutritional superfood. 4-6 hours of SunSprouts in 10-14 DaysIdeal Temperature: 60-80 Degrees FSeed Depth: 1/4\"Plant Spacing: 8\"Frost Hardy: YesBrassica oleracea var alboglabra","Best planted in cool spring or fall conditions. Sow in place."
"Brussels Sprout Seeds Groninger","Groninger is an easy to grow, steady producing variety. These medium to small sprouts are an ideal choice for first timers. Sprouts form a tight head and maintain a delicate flavor even in variable weather. Groninger Brussels can handle a light frost and will improve in flavor with the cold weather. This variety has received the RHS Award of Garden Merit.100 DaysFull SunSprouts in 7-10 DaysSeed Depth: 1/4\" to 1/2\"Ideal Temperature: 50-75 FPlant Spacing: 24\" Frost Hardy: YesBrassica oleracea"," Best planted in midsummer for winter harvest. Sow seeds or set transplants into rich soil in full sun with abundant moisture. Best when harvested after light frost."
"Brussels Sprout Seeds Long Island Improved","The standard open-pollinated variety since the 1890s. Heavy yields of delicious sprouts.100 DaysFull SunSprouts in 7-10 DaysSeed Depth: 1/4\" to 1/2\"Ideal Temperature: 50-75 FPlant Spacing: 24\" Frost Hardy: YesBrassica oleracea"," Best planted in midsummer for winter harvest. Sow seeds or set transplants into rich soil in full sun with abundant moisture. Best when harvested after light frost."
"Brussels Sprout Seeds Red Rubine","A hard-to-find heirloom variety that is colorful in cool late fall weather. Easily one of the most exciting additions to our catalog in years, red Brussels sprouts stand out in the garden and on the plate. The stunning purple-red sprouts are filled with antioxidants. These have a really nice, sweet flavor when grown in cool weather.90 DaysFull SunSprouts in 7-10 DaysSeed Depth: 1/4\" to 1/2\"Ideal Temperature: 50-75 FPlant Spacing: 24\" Frost Hardy: YesBrassica oleracea"," Best planted in midsummer for winter harvest. Sow seeds or set transplants into rich soil in full sun with abundant moisture. Best when harvested after light frost."
"Buckwheat Seeds Rose Red Soba","Grown for incredible flowers, tasty buckwheat seeds, and for feeding beneficial insects!  In 1987, the very rare pink buckwheat was taken to Japan from the Himalayan Mountains at an altitude of 12,400 feet by Professor Emeritus Akio Ujihara of Shinshu University.  We are told that Takano Co. and Mr. Ujihara further developed this to suit the Japanese climate.  Clouds of rose-pink flowers cover this low-maintenance annual buckwheat.  The drought-tolerant flowers are fantastic to attract beneficial pollinators in abundance and add an amazing pop to long-lasting bouquets.  Planted en masse, it is as stunning as a field of lavender.  Easy to grow, deer resistant, drought tolerant and hardy in much of the U.S. 6-12 hours of SunSprouts in 7-12 DaysIdeal Temperature: min 41FSeed Depth: 1/4\"Plant Spacing: 6\"Frost Hardy: NoFagopyrum esculentum","Buckwheat blooms very quickly, often 6-8 weeks after sowing. For soil improvement, plants should be mowed as soon as blooms appear. For grain, wait for full maturity."
"Buckwheat Seeds Takane Ruby","A brilliant, ruby-red to pink flowering superfood from Japan. Pink and red flowering buckwheat is a rare and wondrous pseudo-grain; blankets of pink can be seen blooming high in the Himalayas. In the late 1980s, Akio Ujihara, a professor emeritus from Shinshu University in Japan, collected seeds for a unique flowering buckwheat from Yunnan, China, at about 12,000 feet elevation. The professor selected and perfected this variety, and the signature red blanketed fields can now be found in Nara Prefecture, Japan. Japanese farmers quickly embraced this as a stunning cover crop, much more beautiful than white buckwheat. Tourism in the area to see the pink and red buckwheat fields has skyrocketed. The seeds are ground into a flour for soba noodles and can also be sprouted for a highly nutritious microgreen. In Japan, buckwheat is also brewed into tea and made into cookies. Shinshu University researchers analyzed honey from bees who fed on ruby buckwheat and found that it contained 100 times the antioxidant effect of regular honey. 6-12 hours of SunSprouts in 7-12 DaysIdeal Temperature: min 41 FSeed Depth: 1/4\"Plant Spacing: 6\"Frost Hardy: NoFagopyrum esculentum","Buckwheat blooms very quickly, often 6-8 weeks after sowing. For soil improvement, plants should be mowed as soon as blooms appear. For grain, wait for full maturity."
"Buckwheat Seeds White","Tender plant used as a warm-season cover crop. Plant anytime in warm weather; incorporate into soil when flowering begins (4-6 weeks). It can be planted and tilled under several times in a summer.  It is well known for adding organic matter to the soil -- and produces delicious and nutritious, edible seeds! Pretty white flowers. 45 days6-12 hours of SunSprouts in 7-12 DaysIdeal Temperature: min 41 FSeed Depth: 1/4\"Plant Spacing: 6\"Frost Hardy: NoFagopyrum esculentum","Buckwheat blooms very quickly, often 6-8 weeks after sowing. For soil improvement, plants should be mowed as soon as blooms appear. For grain, wait for full maturity."
"Beet Root Powder 1/2 LB. / Bulk Herb Store","Also known as the Common Beet or Sugar Beet. Our Beet Root Powder is simply the root of the plant dried and powdered. One teaspoon of beetroot powder is equivalent to one beet. Instructions / How To Use:Beet root powder can be encapsulated, added to smoothies and baked goods, or mixed with water to make a delicious beet root juice. Limit consumption to 1-2 teaspoons per day, avoid consuming in large quantities.Ingredients (100% Natural, Culinary Grade):Beet Root Powder Precautions / Allergens:If you are pregnant or breastfeeding stick to amounts that are consistent with food consumption. Also, use caution if suffering from kidney issues. Before adding an herbal product to your routine, please consult your healthcare provider, especially if you are pregnant, nursing, or taking medications.Disclaimer:These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Please consult with your healthcare provider before adding any supplements to your routine.",""
"Black Peppercorns Whole 1/2 lb / Bulk Herb Store","Black pepper embodies a complex bouquet of aromas—earthy, piquant, and subtly spicy. With each twist of the grinder or gentle crush, they release an invigorating fragrance that tantalizes the senses. Black pepper's versatile nature makes it a culinary cornerstone, adding depth and a harmonious kick to dishes, enriching flavors with its robust and timeless charm.Instructions / How to use: Grind whole peppercorns into your favorite stew, stock, or sauce. Perfect seasoning for meats, eggs, and more. Freshly ground pepper can be added to savory recipes during or after cooking.Ingredients (100% Natural, Culinary Grade): Black Peppercorns Precautions / Allergens: Consumption should not exceed that of a spice. Before adding an herbal product to your routine, please consult your healthcare provider, especially if you are pregnant, nursing or taking medications.Disclaimer:These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Please consult with your healthcare provider before adding any supplements to your routine.",""
"Burdock Root C/S 1/2 LB. / Bulk Herb Store","A member of the Asteraceae family with its purple, thistle-like flowers, the entire Burdock plant is commonly used in a variety of ways for its medicinal and nutritional value. Folk herbalists for centuries have boasted of the many benefits burdock offers.Common Names: Burdock root, lappa, thorny burr, beggar’s buttons, clothburrCaffeine FreeInstructions / How To Use: Burdock Root has been respected as a folk remedy for generations. It can be used in recipes or teas.1. Bring 1 cup of water to almost boiling, remove from heat.2. Add 1-2 teaspoons of burdock into a tea strainer.3. Pour water over burdock and steep for 1-3 mins. Remove tea strainer and herbs. Sweeten if desired.Ingredients (100% Natural, Culinary Grade):Burdock Root (Arctium Lappa)Precautions / Allergens:Not recommended for use during pregnancy and/or breastfeeding. If you are allergic to plants such as ragweed, daisies, and/or chrysanthemums you could have an allergy to burdock as well. Also avoid if taking diuretics, are diabetic, or taking blood thinners. Please consult a qualified healthcare professional before adding herbal products to your routine, especially if you are pregnant, nursing, or taking medications.Disclaimer:These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease. Please consult with your health care provider before adding any supplements to your routine.",""
